CardColor,CardText,Card-Details-For-White-Cards,Core,Expansion-Update1,Expansion-MSFT-SP1,Expansion-MSFT-SP2
Black,_________ is not a wise security boundary.,,Yes,,,
Black,_________ is not in keeping with our values as a company.,,Yes,,,
Black,_________ just earned me a five-hour meeting with HR and Legal.,,Yes,,,
Black,_________? That’s a billion dollar business idea right there.,,Yes,,,
Black,Anyone else having problems with _________ today or is it just me?,,Yes,,,
Black,Can you repeat the question? I was daydreaming about _________.,,Yes,,,
Black,Everyone loved the new HR director until they took away _________.,,Yes,,,
Black,"Getting that last release out the door took a lot of blood, sweat and _________.",,Yes,,,
Black,"Hey kids, study computer science and one day you too can aspire to work on _________.",,Yes,,,
Black,Hi! I’m Clippy. It looks like you’re working on _________. Do you want help with that?,,Yes,,,
Black,"I can’t talk about _________, it’s ATTORNEY-CLIENT PRIVILEGED.",,Yes,,,
Black,I finally experienced _________ and now I understand.,,Yes,,,
Black,I find that I am increasingly disappointed by _________.,,Yes,,,
Black,"I really hate that guy who is always_________, but I do it too.",,Yes,,,
Black,I told the new hire that working on ________ was a “growth opportunity”.,,Yes,,,
Black,"I'm sorry, but we don't allow _________ in this organization.",,Yes,,,
Black,"In a meeting today, we spent two hours arguing about _________.",,Yes,,,
Black,"In this year's riveting Ethics & Compliance training, the best example of bad behavior by an employee is _________.",,Yes,,,
Black,"My last checkin was rejected, but it wasn't my fault - I blame _________.",,Yes,,,
Black,My last job involved a little more _________ than I was expecting.,,Yes,,,
Black,"My manager and I were not getting along, until we discovered our shared interest in _________.",,Yes,,,
Black,"Our competition has developed a more performant, user-friendly version of _________.",,Yes,,,
Black,"Our latest release introduces the world to ""_________ as a Service"".",,Yes,,,
Black,Our new machine learning strategy is as follows: Step 1: Collect Data Step 2: _________ Step 3: Profit!,,Yes,,,
Black,Our workstream's key deliverable is to figure out the strategic value prop for _________.,,Yes,,,
Black,Remember that one time we thought _________ was a good idea?,,Yes,,,
Black,The bug was resolved Won't Fix due to _________.,,Yes,,,
Black,The end result of our growth mindset was _________.,,Yes,,,
Black,This new scorecard tracks the team's progress in _________ on a monthly basis.,,Yes,,,
Black,True culture change starts with _________.,,Yes,,,
Black,"We didn't notice all the tests were failing for weeks, because we were distracted by _________.",,Yes,,,
Black,What's the most soul-sucking part about your job?,,Yes,,,
Black,What's the stupidest fucking idea you've ever heard?,,Yes,,,
Black,Why can't a room full of engineers get _________ to work?,,Yes,,,
Black,You know what this company really needs more of? _________.,,Yes,,,
White,"A ""CLM"", or ""Career Limiting Move""",The sky's the limit.,Yes,,,
White,"A bad case of ""Not Invented Here"" Syndrome",Because everyone thinks they're smarter than everyone else.,Yes,,,
White,A brain fart,Luckily these don't smell… much.,Yes,,,
White,A code review that feels more like a bro review,"Be (wait for it, wait for it) wary.",Yes,,,
White,A floppy disk,"Or as the kids call it, a 3D-printed save icon.",Yes,,,
White,A friendly debate about the Oxford comma,"You can have my Oxford comma when you pry it from my cold, dead, and lifeless hands.",Yes,,,
White,A gassy coworker,When is it appropriate to ask a coworker if their gut flora is healthy?,Yes,,,
White,A gloriously written EULA,"See, for example, the Bedlam EULA.",Yes,,,
White,A pants-free work environment,"Like casual Fridays, only casual-er.",Yes,,,
White,A private facepalm,For when doing it in public would be a Career Limiting Move (CLM).,Yes,,,
White,A smiley BSOD,It makes that whole IRQL_NOT_LESS_EQUAL suddenly less annoying to see that friendly smile.,Yes,,,
White,A somewhat obscene TLA,"If anyone comments about initialisms vs acronyms when this card is played, they lose a point.",Yes,,,
White,A virus (the flesh-eating kind),"What's worse - Melissa, ILoveYou or Ebola?",Yes,,,
White,"Aborting, retrying, then ultimately failing","Good things come in threes, like this card, the three-fingered salute, and getting it right on v3.",Yes,,,
White,Actually being the target user,Where having a target painted on you is a GOOD thing.,Yes,,,
White,Actually getting a useful answer from helpdesk,"What's the secret code I can give to IT, so they know that I have a clue?",Yes,,,
White,Actually reading status mails,"Print them all out, they make for a handy dandy toilet paper.",Yes,,,
White,Actually reading the license terms,Because who does that?,Yes,,,
White,An awkward HR intervention,"The non-awkward kinds are just fine, really.",Yes,,,
White,April Fools,"Gmail was announced on April 1st, 2004 and many thought it was a joke at first.",Yes,,,
White,Asking how you got on this mail and can someone please remove you,You can't win 'em reply all.,Yes,,,
White,Being a douche,"'A shower', in French. Don't be a shower.",Yes,,,
White,Being a fast follower,"After another company is first to market with a new product or feature, quickly following up with your own.",Yes,,,
White,Being a no-op,The operation was not a success.,Yes,,,
White,"Being the first one to start a ""reply all"" storm",If you haven't yet experienced these storms… just wait. Your turn will come.,Yes,,,
White,Being the one AV geek in every meeting,"In high school, those skills were remarkedly less desirable.",Yes,,,
White,Blaming millennials,Millenials are killing the 'blame millenials' industry.,Yes,,,
White,Blaming the user,"If you don't win the round, it's because you're holding this card wrong.",Yes,,,
White,Breaking the build,I broke the build and the build won.,Yes,,,
White,Change for change's sake,public const int change = 1;,Yes,,,
White,Checking in a buggy piece of shit for someone else to deal with,"You've NEVER done that, right?",Yes,,,
White,Checking in a risky fix and then going on vacation the next day,"Sometimes known as ""Wooding the tree"".",Yes,,,
White,Clipping your toenails in the open-space work area,"Do you suppose that's how ""Clippy"" got named?",Yes,,,
White,"Complaining about stuff, only to find out that there's already a Bedlam card for it",Happened like six times so far. Is this the seventh?,Yes,,,
White,Completely changing a UI right after most people have finally gotten used to the last one,"Change is good, unless it's great. Except for the times that it sucks.",Yes,,,
White,Creating a viral video to market your product,Often ends up being more of an eyeroll video.,Yes,,,
White,Curse words underlined with little red squigglies,An incredible innovation in spellcheck.,Yes,,,
White,Debugging a hung process when you're hungover,It's like double-hung windows.,Yes,,,
White,Declaring post-vacation email bankruptcy,"Just delete it all - if it's important, they'll send you another email.",Yes,,,
White,Demonstrating superior leadership skills by delegating,Like a boss.,Yes,,,
White,Designing by committee,Everyone has opinions. What's something else that everyone has?,Yes,,,
White,Drinking at work,"Pop, of course. What did you think I meant?",Yes,,,
White,Easter eggs,"For example, playing Doom in Excel 95.",Yes,,,
White,Endless debates about open space,Or whatever they are calling it these days.,Yes,,,
White,Endless pull requests,Git along with the program.,Yes,,,
White,"Engineering politely thanking Legal, HR, Marketing or BizDev for their input","Thanks for the ""Feedback"".",Yes,,,
White,Escalating on the guy that always escalates everything,"If doing this is wrong, I don't want to be right.",Yes,,,
White,Fabricating data to make the point,There's a high correlation between drowning deaths and ice cream sales.,Yes,,,
White,Fallout from the acquisition,"Hey, at least it's not radioactive.",Yes,,,
